record_id,year,region_code,region_name,facility,process,ipcc_category,activity_value,activity_unit,demo_emission_factor,estimated_emissions,emission_unit,source_office,data_status
IP-2021-001,2021,R13,Caraga,Synthetic Industrial Facility 01,Cement clinker production,2.A.1,10682.1,tonne clinker,0.52,5554.7,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-002,2021,NCR,National Capital Region,Synthetic Industrial Facility 02,Lime production,2.A.2,120546.5,tonne lime,0.75,90409.9,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-003,2021,R01,Ilocos Region,Synthetic Industrial Facility 03,Glass production,2.A.3,146457.2,tonne glass,0.2,29291.4,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-004,2021,R03,Central Luzon,Synthetic Industrial Facility 04,Iron and steel,2.C.1,92720.5,tonne product,0.35,32452.2,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-005,2021,MIMAROPA,MIMAROPA Region,Synthetic Industrial Facility 05,Cement clinker production,2.A.1,167355.3,tonne clinker,0.52,87024.8,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-006,2021,R06,Western Visayas,Synthetic Industrial Facility 06,Lime production,2.A.2,174398.9,tonne lime,0.75,130799.2,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-007,2021,R08,Eastern Visayas,Synthetic Industrial Facility 07,Glass production,2.A.3,116994.2,tonne glass,0.2,23398.8,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-008,2021,R10,Northern Mindanao,Synthetic Industrial Facility 08,Iron and steel,2.C.1,57707.1,tonne product,0.35,20197.5,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-009,2021,R12,SOCCSKSARGEN,Synthetic Industrial Facility 09,Cement clinker production,2.A.1,17857.9,tonne clinker,0.52,9286.1,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-010,2021,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Synthetic Industrial Facility 10,Lime production,2.A.2,60555.5,tonne lime,0.75,45416.6,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-011,2021,CAR,Cordillera Administrative Region,Synthetic Industrial Facility 11,Glass production,2.A.3,124641.4,tonne glass,0.2,24928.3,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-012,2021,R02,Cagayan Valley,Synthetic Industrial Facility 12,Iron and steel,2.C.1,147289.6,tonne product,0.35,51551.4,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-013,2021,R04A,CALABARZON,Synthetic Industrial Facility 13,Cement clinker production,2.A.1,176797.3,tonne clinker,0.52,91934.6,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-014,2021,R05,Bicol Region,Synthetic Industrial Facility 14,Lime production,2.A.2,18939.6,tonne lime,0.75,14204.7,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-015,2021,R07,Central Visayas,Synthetic Industrial Facility 15,Glass production,2.A.3,2705.8,tonne glass,0.2,541.2,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-016,2021,R09,Zamboanga Peninsula,Synthetic Industrial Facility 16,Iron and steel,2.C.1,100358.1,tonne product,0.35,35125.3,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-017,2021,R11,Davao Region,Synthetic Industrial Facility 17,Cement clinker production,2.A.1,169893.1,tonne clinker,0.52,88344.4,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-018,2021,R13,Caraga,Synthetic Industrial Facility 18,Lime production,2.A.2,86606.1,tonne lime,0.75,64954.6,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-019,2021,NCR,National Capital Region,Synthetic Industrial Facility 19,Glass production,2.A.3,20473.1,tonne glass,0.2,4094.6,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-020,2021,R01,Ilocos Region,Synthetic Industrial Facility 20,Iron and steel,2.C.1,2535.6,tonne product,0.35,887.5,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-021,2021,R03,Central Luzon,Synthetic Industrial Facility 21,Cement clinker production,2.A.1,82325.3,tonne clinker,0.52,42809.2,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-022,2021,MIMAROPA,MIMAROPA Region,Synthetic Industrial Facility 22,Lime production,2.A.2,84073.4,tonne lime,0.75,63055,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-023,2021,R06,Western Visayas,Synthetic Industrial Facility 23,Glass production,2.A.3,48463.5,tonne glass,0.2,9692.7,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-024,2021,R08,Eastern Visayas,Synthetic Industrial Facility 24,Iron and steel,2.C.1,109749.9,tonne product,0.35,38412.5,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-025,2021,R10,Northern Mindanao,Synthetic Industrial Facility 25,Cement clinker production,2.A.1,164065.1,tonne clinker,0.52,85313.9,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-026,2021,R12,SOCCSKSARGEN,Synthetic Industrial Facility 26,Lime production,2.A.2,106972.2,tonne lime,0.75,80229.1,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-027,2021,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Synthetic Industrial Facility 27,Glass production,2.A.3,38704.3,tonne glass,0.2,7740.9,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2021-028,2021,CAR,Cordillera Administrative Region,Synthetic Industrial Facility 28,Iron and steel,2.C.1,113859.6,tonne product,0.35,39850.9,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-001,2022,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Synthetic Industrial Facility 01,Cement clinker production,2.A.1,108674.7,tonne clinker,0.52,56510.8,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-002,2022,CAR,Cordillera Administrative Region,Synthetic Industrial Facility 02,Lime production,2.A.2,101334.7,tonne lime,0.75,76001,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-003,2022,R02,Cagayan Valley,Synthetic Industrial Facility 03,Glass production,2.A.3,50756.6,tonne glass,0.2,10151.3,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-004,2022,R04A,CALABARZON,Synthetic Industrial Facility 04,Iron and steel,2.C.1,120875,tonne product,0.35,42306.2,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-005,2022,R05,Bicol Region,Synthetic Industrial Facility 05,Cement clinker production,2.A.1,68559.1,tonne clinker,0.52,35650.7,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-006,2022,R07,Central Visayas,Synthetic Industrial Facility 06,Lime production,2.A.2,12436.2,tonne lime,0.75,9327.2,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-007,2022,R09,Zamboanga Peninsula,Synthetic Industrial Facility 07,Glass production,2.A.3,163268.4,tonne glass,0.2,32653.7,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-008,2022,R11,Davao Region,Synthetic Industrial Facility 08,Iron and steel,2.C.1,124171.5,tonne product,0.35,43460,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-009,2022,R13,Caraga,Synthetic Industrial Facility 09,Cement clinker production,2.A.1,112058.1,tonne clinker,0.52,58270.2,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-010,2022,NCR,National Capital Region,Synthetic Industrial Facility 10,Lime production,2.A.2,50919.4,tonne lime,0.75,38189.6,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-011,2022,R01,Ilocos Region,Synthetic Industrial Facility 11,Glass production,2.A.3,145671.8,tonne glass,0.2,29134.4,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-012,2022,R03,Central Luzon,Synthetic Industrial Facility 12,Iron and steel,2.C.1,117443.1,tonne product,0.35,41105.1,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-013,2022,MIMAROPA,MIMAROPA Region,Synthetic Industrial Facility 13,Cement clinker production,2.A.1,57710.9,tonne clinker,0.52,30009.7,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-014,2022,R06,Western Visayas,Synthetic Industrial Facility 14,Lime production,2.A.2,65183.7,tonne lime,0.75,48887.8,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-015,2022,R08,Eastern Visayas,Synthetic Industrial Facility 15,Glass production,2.A.3,71796,tonne glass,0.2,14359.2,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-016,2022,R10,Northern Mindanao,Synthetic Industrial Facility 16,Iron and steel,2.C.1,151028.2,tonne product,0.35,52859.9,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-017,2022,R12,SOCCSKSARGEN,Synthetic Industrial Facility 17,Cement clinker production,2.A.1,26301.4,tonne clinker,0.52,13676.7,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-018,2022,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Synthetic Industrial Facility 18,Lime production,2.A.2,75405.5,tonne lime,0.75,56554.1,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-019,2022,CAR,Cordillera Administrative Region,Synthetic Industrial Facility 19,Glass production,2.A.3,58266.3,tonne glass,0.2,11653.3,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-020,2022,R02,Cagayan Valley,Synthetic Industrial Facility 20,Iron and steel,2.C.1,95889.6,tonne product,0.35,33561.4,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-021,2022,R04A,CALABARZON,Synthetic Industrial Facility 21,Cement clinker production,2.A.1,168623,tonne clinker,0.52,87684,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-022,2022,R05,Bicol Region,Synthetic Industrial Facility 22,Lime production,2.A.2,109133.1,tonne lime,0.75,81849.8,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-023,2022,R07,Central Visayas,Synthetic Industrial Facility 23,Glass production,2.A.3,149636.2,tonne glass,0.2,29927.2,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-024,2022,R09,Zamboanga Peninsula,Synthetic Industrial Facility 24,Iron and steel,2.C.1,50500.4,tonne product,0.35,17675.1,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-025,2022,R11,Davao Region,Synthetic Industrial Facility 25,Cement clinker production,2.A.1,144716.8,tonne clinker,0.52,75252.7,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-026,2022,R13,Caraga,Synthetic Industrial Facility 26,Lime production,2.A.2,4021.2,tonne lime,0.75,3015.9,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-027,2022,NCR,National Capital Region,Synthetic Industrial Facility 27,Glass production,2.A.3,76078.9,tonne glass,0.2,15215.8,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
IP-2022-028,2022,R01,Ilocos Region,Synthetic Industrial Facility 28,Iron and steel,2.C.1,74503.3,tonne product,0.35,26076.2,tCO2e proxy,DENR-EMB,SYNTHETIC_DEMO
