record_id,year,region_code,region_name,facility,baseline_tco2e,reported_reduction_tco2e,net_tco2e,verification_status,source_office,data_status
VER-2021-001,2021,R13,Caraga,Synthetic Facility 01,67459.9,1214.9,66245.1,submitted,EMB Caraga Regional Office,SYNTHETIC_DEMO
VER-2021-002,2021,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Synthetic Facility 02,87534.6,10962.9,76571.7,desk-checked,EMB Bangsamoro Autonomous Region in Muslim Mindanao Regional Office,SYNTHETIC_DEMO
VER-2021-003,2021,NCR,National Capital Region,Synthetic Facility 03,44576.4,7105.1,37471.3,validated,EMB National Capital Region Regional Office,SYNTHETIC_DEMO
VER-2021-004,2021,CAR,Cordillera Administrative Region,Synthetic Facility 04,88231.4,2492.3,85739.1,for clarification,EMB Cordillera Administrative Region Regional Office,SYNTHETIC_DEMO
VER-2021-005,2021,R01,Ilocos Region,Synthetic Facility 05,82804.2,7732.8,75071.4,submitted,EMB Ilocos Region Regional Office,SYNTHETIC_DEMO
VER-2021-006,2021,R02,Cagayan Valley,Synthetic Facility 06,25803.7,1840.2,23963.5,desk-checked,EMB Cagayan Valley Regional Office,SYNTHETIC_DEMO
VER-2021-007,2021,R03,Central Luzon,Synthetic Facility 07,36804.6,615.9,36188.7,validated,EMB Central Luzon Regional Office,SYNTHETIC_DEMO
VER-2021-008,2021,R04A,CALABARZON,Synthetic Facility 08,30931.8,5387.9,25543.9,for clarification,EMB CALABARZON Regional Office,SYNTHETIC_DEMO
VER-2021-009,2021,MIMAROPA,MIMAROPA Region,Synthetic Facility 09,34511.7,4595,29916.7,submitted,EMB MIMAROPA Region Regional Office,SYNTHETIC_DEMO
VER-2021-010,2021,R05,Bicol Region,Synthetic Facility 10,1703.1,264,1439.1,desk-checked,EMB Bicol Region Regional Office,SYNTHETIC_DEMO
VER-2021-011,2021,R06,Western Visayas,Synthetic Facility 11,73004.7,6389.6,66615,validated,EMB Western Visayas Regional Office,SYNTHETIC_DEMO
VER-2021-012,2021,R07,Central Visayas,Synthetic Facility 12,9976,1242.1,8733.9,for clarification,EMB Central Visayas Regional Office,SYNTHETIC_DEMO
VER-2021-013,2021,R08,Eastern Visayas,Synthetic Facility 13,35459.8,3739.2,31720.5,submitted,EMB Eastern Visayas Regional Office,SYNTHETIC_DEMO
VER-2021-014,2021,R09,Zamboanga Peninsula,Synthetic Facility 14,68310.5,2110.2,66200.3,desk-checked,EMB Zamboanga Peninsula Regional Office,SYNTHETIC_DEMO
VER-2021-015,2021,R10,Northern Mindanao,Synthetic Facility 15,73623.5,2869.7,70753.8,validated,EMB Northern Mindanao Regional Office,SYNTHETIC_DEMO
VER-2021-016,2021,R11,Davao Region,Synthetic Facility 16,66983.1,5679.2,61303.9,for clarification,EMB Davao Region Regional Office,SYNTHETIC_DEMO
VER-2021-017,2021,R12,SOCCSKSARGEN,Synthetic Facility 17,78303.2,4961.3,73341.9,submitted,EMB SOCCSKSARGEN Regional Office,SYNTHETIC_DEMO
VER-2021-018,2021,R13,Caraga,Synthetic Facility 18,38913.4,6807.8,32105.6,desk-checked,EMB Caraga Regional Office,SYNTHETIC_DEMO
VER-2021-019,2021,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Synthetic Facility 19,49684.8,8615.2,41069.6,validated,EMB Bangsamoro Autonomous Region in Muslim Mindanao Regional Office,SYNTHETIC_DEMO
VER-2021-020,2021,NCR,National Capital Region,Synthetic Facility 20,43347.7,2228.9,41118.8,for clarification,EMB National Capital Region Regional Office,SYNTHETIC_DEMO
VER-2021-021,2021,CAR,Cordillera Administrative Region,Synthetic Facility 21,85640.2,8002.3,77637.9,submitted,EMB Cordillera Administrative Region Regional Office,SYNTHETIC_DEMO
VER-2021-022,2021,R01,Ilocos Region,Synthetic Facility 22,34527,1636.2,32890.8,desk-checked,EMB Ilocos Region Regional Office,SYNTHETIC_DEMO
VER-2021-023,2021,R02,Cagayan Valley,Synthetic Facility 23,1920.3,29.6,1890.7,validated,EMB Cagayan Valley Regional Office,SYNTHETIC_DEMO
VER-2021-024,2021,R03,Central Luzon,Synthetic Facility 24,74457.2,9311.5,65145.8,for clarification,EMB Central Luzon Regional Office,SYNTHETIC_DEMO
VER-2021-025,2021,R04A,CALABARZON,Synthetic Facility 25,69338.9,4898.1,64440.8,submitted,EMB CALABARZON Regional Office,SYNTHETIC_DEMO
VER-2021-026,2021,MIMAROPA,MIMAROPA Region,Synthetic Facility 26,7891.3,79.9,7811.4,desk-checked,EMB MIMAROPA Region Regional Office,SYNTHETIC_DEMO
VER-2021-027,2021,R05,Bicol Region,Synthetic Facility 27,24555.2,3413.5,21141.7,validated,EMB Bicol Region Regional Office,SYNTHETIC_DEMO
VER-2021-028,2021,R06,Western Visayas,Synthetic Facility 28,18657.7,2213.8,16443.9,for clarification,EMB Western Visayas Regional Office,SYNTHETIC_DEMO
VER-2021-029,2021,R07,Central Visayas,Synthetic Facility 29,66638.7,7835.8,58802.9,submitted,EMB Central Visayas Regional Office,SYNTHETIC_DEMO
VER-2021-030,2021,R08,Eastern Visayas,Synthetic Facility 30,79510.2,1009.6,78500.6,desk-checked,EMB Eastern Visayas Regional Office,SYNTHETIC_DEMO
VER-2021-031,2021,R09,Zamboanga Peninsula,Synthetic Facility 31,32713.2,5655.5,27057.8,validated,EMB Zamboanga Peninsula Regional Office,SYNTHETIC_DEMO
VER-2021-032,2021,R10,Northern Mindanao,Synthetic Facility 32,83844.2,1530.4,82313.8,for clarification,EMB Northern Mindanao Regional Office,SYNTHETIC_DEMO
VER-2021-033,2021,R11,Davao Region,Synthetic Facility 33,65728.9,4585.8,61143,submitted,EMB Davao Region Regional Office,SYNTHETIC_DEMO
VER-2021-034,2021,R12,SOCCSKSARGEN,Synthetic Facility 34,47304.3,2460.8,44843.5,desk-checked,EMB SOCCSKSARGEN Regional Office,SYNTHETIC_DEMO
VER-2021-035,2021,R13,Caraga,Synthetic Facility 35,35805.9,3881.4,31924.5,validated,EMB Caraga Regional Office,SYNTHETIC_DEMO
