fiscal_year,region_psgc,region_code,nccap_theme,tagged_budget_php_m,adaptation_share_pct,source_system,data_status
2022,PH130000000,NCR,Water Sufficiency,697.87,84.6,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH130000000,NCR,Food Security,680.9,62.4,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH130000000,NCR,Ecosystem & Environmental Stability,549.33,77.2,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH130000000,NCR,Human Security,442.88,63.5,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH130000000,NCR,Sustainable Energy,502.01,33.8,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH130000000,NCR,Climate-Smart Industries and Services,279.97,70.9,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH130000000,NCR,Knowledge & Capacity Development,110.46,85.6,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH130000000,NCR,Cross-Cutting,94.95,56.7,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH140000000,CAR,Water Sufficiency,161.22,71.4,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH140000000,CAR,Food Security,136.9,89.4,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH140000000,CAR,Ecosystem & Environmental Stability,84.16,83.2,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH140000000,CAR,Human Security,83.15,82.9,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH140000000,CAR,Sustainable Energy,78.76,38.2,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH140000000,CAR,Climate-Smart Industries and Services,58.26,80.1,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH140000000,CAR,Knowledge & Capacity Development,30.34,65.7,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH140000000,CAR,Cross-Cutting,16.23,68.2,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH010000000,I,Water Sufficiency,303.36,72.1,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH010000000,I,Food Security,339.91,77.4,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH010000000,I,Ecosystem & Environmental Stability,274.36,84.9,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH010000000,I,Human Security,132.63,85.1,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH010000000,I,Sustainable Energy,192.88,23.7,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH010000000,I,Climate-Smart Industries and Services,91.78,80.9,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH010000000,I,Knowledge & Capacity Development,66.32,59.3,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH010000000,I,Cross-Cutting,35.46,86.3,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH020000000,II,Water Sufficiency,340.24,83.5,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH020000000,II,Food Security,241.15,67.1,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH020000000,II,Ecosystem & Environmental Stability,149.71,79.6,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH020000000,II,Human Security,146.3,78.5,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH020000000,II,Sustainable Energy,161.93,22.0,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH020000000,II,Climate-Smart Industries and Services,81.42,82.2,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH020000000,II,Knowledge & Capacity Development,41.91,69.4,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH020000000,II,Cross-Cutting,37.37,70.2,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH030000000,III,Water Sufficiency,828.44,70.4,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH030000000,III,Food Security,659.48,72.6,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH030000000,III,Ecosystem & Environmental Stability,457.63,65.5,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH030000000,III,Human Security,441.2,75.1,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH030000000,III,Sustainable Energy,449.68,44.0,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH030000000,III,Climate-Smart Industries and Services,218.73,66.4,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH030000000,III,Knowledge & Capacity Development,111.5,80.6,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH030000000,III,Cross-Cutting,86.52,75.4,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH040000000,IV-A,Water Sufficiency,1069.27,67.1,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH040000000,IV-A,Food Security,722.58,63.0,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH040000000,IV-A,Ecosystem & Environmental Stability,523.52,76.0,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH040000000,IV-A,Human Security,483.96,55.4,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH040000000,IV-A,Sustainable Energy,509.49,46.8,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH040000000,IV-A,Climate-Smart Industries and Services,278.61,82.2,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH040000000,IV-A,Knowledge & Capacity Development,133.58,78.3,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH040000000,IV-A,Cross-Cutting,134.04,75.9,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH170000000,MIMAROPA,Water Sufficiency,298.59,83.9,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH170000000,MIMAROPA,Food Security,224.93,89.5,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH170000000,MIMAROPA,Ecosystem & Environmental Stability,122.93,55.0,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH170000000,MIMAROPA,Human Security,91.73,81.0,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH170000000,MIMAROPA,Sustainable Energy,161.74,35.6,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH170000000,MIMAROPA,Climate-Smart Industries and Services,62.92,81.3,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH170000000,MIMAROPA,Knowledge & Capacity Development,53.79,81.8,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH170000000,MIMAROPA,Cross-Cutting,25.93,60.6,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH050000000,V,Water Sufficiency,385.94,57.1,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH050000000,V,Food Security,371.13,80.0,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH050000000,V,Ecosystem & Environmental Stability,305.71,66.1,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH050000000,V,Human Security,202.23,88.6,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH050000000,V,Sustainable Energy,235.01,49.3,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH050000000,V,Climate-Smart Industries and Services,141.79,83.8,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH050000000,V,Knowledge & Capacity Development,58.87,74.5,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH050000000,V,Cross-Cutting,36.57,80.1,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH060000000,VI,Water Sufficiency,526.75,75.2,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH060000000,VI,Food Security,402.68,85.1,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH060000000,VI,Ecosystem & Environmental Stability,321.25,81.0,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH060000000,VI,Human Security,282.26,78.4,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH060000000,VI,Sustainable Energy,269.71,36.0,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH060000000,VI,Climate-Smart Industries and Services,137.98,70.7,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH060000000,VI,Knowledge & Capacity Development,108.6,80.3,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH060000000,VI,Cross-Cutting,47.37,57.1,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH070000000,VII,Water Sufficiency,580.49,62.5,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH070000000,VII,Food Security,383.38,68.9,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH070000000,VII,Ecosystem & Environmental Stability,279.63,73.1,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH070000000,VII,Human Security,286.1,73.7,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH070000000,VII,Sustainable Energy,225.04,38.4,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH070000000,VII,Climate-Smart Industries and Services,146.19,82.1,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH070000000,VII,Knowledge & Capacity Development,81.29,80.2,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH070000000,VII,Cross-Cutting,69.61,86.7,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH080000000,VIII,Water Sufficiency,329.26,56.7,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH080000000,VIII,Food Security,214.52,73.6,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH080000000,VIII,Ecosystem & Environmental Stability,158.22,78.2,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH080000000,VIII,Human Security,176.32,56.2,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH080000000,VIII,Sustainable Energy,158.27,24.2,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH080000000,VIII,Climate-Smart Industries and Services,114.6,56.4,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH080000000,VIII,Knowledge & Capacity Development,59.51,78.4,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH080000000,VIII,Cross-Cutting,28.2,63.9,Synthetic CCET-like PoC feed,SYNTHETIC
2022,PH090000000,IX,Water Sufficiency,280.19,58.1,Synthetic CCET-like PoC feed,SYNTHETIC
